"Seconds
(UTC)","Fuel
(kg)"
64200,38653.97
64260,38542.0954947071
64320,38430.2784790848
64380,38318.5180353244
64440,38206.8132434259
64500,38095.1632007027
64560,37983.5672511198
64620,37872.0252105013
64680,37760.5364260646
64740,37649.1003415453
64800,37537.7164983935
64851,37443.0843295626
64920,37315.1030140277
64980,37203.8740587594
65040,37092.6877718258
65100,36981.5445692511
65160,36870.4450281944
65220,36759.3897131613
65280,36648.3791760449
65340,36537.4139561697
65400,36426.4945803374
65460,36315.621562875
65520,36204.8037002013
65625,36010.9772823791
65640,35983.3133793232
65700,35872.6722199602
65760,35762.0905254552
65820,35651.5678680348
65880,35541.1038250816
65940,35430.6979792654
66000,35320.3451612453
66060,35210.044264785
66120,35099.795953578
66180,34989.5968942448
66240,34879.4528765916
66300,34769.3645542583
66360,34659.3327774627
66420,34549.3581302372
66480,34439.4432264498
66540,34329.5864212
66600,34219.7837432105
66660,34110.0381820276
66720,34000.3511636268
66780,33890.7241178763
66840,33781.1521310172
66900,33671.635176277
66960,33562.1732268961
67020,33452.7662561272
67080,33343.4142372357
67110,33288.7656903676
67200,33124.8599793933
67260,33015.6726635987
67320,32906.5401909006
67380,32797.4625346275
67440,32688.4396681207
67500,32579.47321856
67560,32470.5631567559
67620,32361.7094535339
67680,32252.9120797346
67740,32144.1710062136
67838,31966.6524956729
67860,31926.8350842016
67920,31818.2627484765
67980,31709.7465965971
68040,31601.2865994944
68100,31492.8827281144
68160,31384.5349534182
68220,31276.2432463818
68280,31168.0075779964
68340,31059.8279192681
68400,30951.7042412179
68460,30843.6365148819
68520,30735.6247113112
68580,30627.6688015718
68640,30519.7687567448
68700,30411.9245479261
68760,30304.1361462266
68820,30196.4035227723
68880,30088.7266487038
68940,29981.105495177
69000,29873.5400333625
69060,29766.0302344458
69120,29658.5760696275
69180,29551.177510123
69240,29443.8345271624
69300,29336.547091991
69360,29229.3151758687
69420,29122.1387500704
69478,29018.5884846921
69540,28907.9521930276
69600,28800.9420660313
69660,28693.9873146071
69720,28587.0879124159
69780,28480.2438308181
69840,28373.4550411889
69900,28266.7231350817
69960,28160.0480813949
70020,28053.4298490441
70080,27946.8684069623
70140,27840.3637241002
70200,27733.9157694255
70260,27627.5245119236
70320,27521.189920597
70380,27414.9119644658
70440,27308.6906125672
70500,27202.525833956
70560,27096.2178101942
70620,26989.9618658992
70680,26883.7591327138
70740,26777.6094149163
70800,26671.5125173552
70863,26560.1660318624
70920,26459.4762700474
70980,26353.5366677967
71040,26247.6517393683
71100,26141.8282776335
71160,26036.0662601738
71220,25930.3656623633
71280,25824.7264573746
71340,25719.1186052404
71400,25613.5863253906
71460,25508.1051824632
71520,25402.6749888066
71580,25297.2955573205
71640,25191.966772194
71700,25086.6889012318
71760,24981.4619470188
71820,24876.2911931306
71880,24771.1818158762
71940,24666.1336838365
72000,24561.1466634304
72060,24456.2206189335
72120,24351.3554124982
72180,24246.5509041742
72240,24141.8050664628
72300,24037.1113189831
72360,23932.4695703006
72420,23827.879728523
72480,23723.3417013022
72540,23618.855395837
72600,23514.4207188752
72660,23410.0375767162
72720,23305.7097799849
72780,23201.4374966356
72840,23097.220684077
72900,22993.0592972107
72960,22888.9532884405
73020,22784.9026076822
73080,22680.907202372
73140,22576.966490827
73200,22473.0800582569
73260,22369.2477600838
73320,22265.4694527687
73380,22161.7449938165
73440,22058.0742417804
73500,21954.4570562668
73560,21850.8907519075
73620,21747.3700641977
73680,21643.8950266722
73740,21540.4656753769
73800,21437.0820488661
73860,21333.7441881993
73920,21230.452136939
73980,21127.2663768246
74040,21024.1358761726
74100,20921.0588486802
74160,20818.0351642298
74220,20715.0646929466
74280,20612.1473052017
74340,20509.2592879538
74400,20406.4241084477
74465,20295.074438241
74520,20200.9018622318
74580,20098.2345618197
74640,19995.6141293818
74700,19893.0405262397
74760,19790.513713909
74820,19688.033654101
74880,19585.5999012318
74940,19483.2075811366
75000,19380.8566544993
75060,19278.5470820588
75120,19176.2788246075
75180,19074.0518429901
75240,18971.8660981028
75300,18869.7215508919
75360,18767.6324678197
75420,18665.6036529286
75480,18563.6351602676
75540,18461.7270437871
75600,18359.8793573399
75660,18258.0921546834
75720,18156.365879361
75780,18054.7030105951
75840,17953.1071234871
75900,17851.5780719008
75960,17750.1157085827
76020,17648.7198850979
76080,17547.39045178
76140,17447.3792557978
76200,17347.4355688059
76260,17247.5425052269
76320,17147.7001467174
76380,17047.9085747009
76440,16948.1678703661
76500,16848.478114665
76560,16748.8393883115
76620,16649.2517717793
76680,16549.7096917895
76740,16450.2110195141
76800,16350.7557165071
76860,16251.3437443592
76920,16151.9750646984
76980,16052.6496391904
77040,15953.3674295394
77100,15854.1318743663
77160,15754.9488916144
77220,15655.8183934684
77280,15556.7402921916
77340,15457.7145001279
77400,15358.7409297056
77460,15259.8194934394
77520,15160.9499719237
77580,15062.1252948182
77640,14963.3455088752
77700,14864.6106609737
77760,14765.9207981017
77820,14667.2759673384
77880,14568.6762158369
77940,14470.1215908062
78000,14371.6137453541
78087,14228.8463594558
78120,14174.7311381038
78180,14075.2632717028
78240,13975.8466168987
78300,13876.4811256765
78360,13777.1667500944
78420,13677.8989107819
78480,13578.6750696056
78540,13479.4951942102
78600,13380.3592521967
78660,13281.2672111217
78720,13182.2190384962
78780,13083.2147017845
78840,12984.2541684033
78900,12885.2916576268
78960,12786.3786066143
79020,12687.5142633723
79080,12588.6978718087
79140,12489.9286718353
79200,12391.2058994591
79260,12292.5287868617
79320,12193.9053720169
79380,12095.3410705324
79440,11996.8357315409
79500,11898.389210735
79560,11800.001370617
79620,11701.6720807359
79680,11603.4012179089
79740,11505.1890032456
79800,11407.0369386574
79860,11308.9448984578
79920,11210.9127525384
79980,11112.9403686904
80040,11015.0276142026
80100,10917.1743564361
80160,10819.3806211366
80220,10721.6472537413
80280,10623.9745060967
80340,10526.3623385401
80400,10428.8107042369
80460,10331.3195492541
80520,10233.8888126343
80580,10136.5184264737
80640,10039.2091002345
80700,9941.96268124846
80760,9844.77902693267
80820,9747.65800259713
80880,9650.5994813372
80940,9553.60334393763
81000,9456.6694787875
81060,9359.79778180564
81120,9262.986824157
81180,9166.23665126692
81240,9069.54760330432
81300,8972.9200119475
81360,8876.35420055399
81420,8779.85048433056
81480,8683.40917050253
81540,8587.0263317674
81600,8490.69659526279
81682,8359.11862426588
81720,8298.18824265113
81780,8202.01439949188
81840,8105.89082026751
81900,8009.81622356966
81960,7913.78969262036
82020,7817.86532830086
82080,7721.99092771023
82140,7626.16522154664
82200,7530.38825568387
82260,7434.66007629572
82320,7338.98072985387
82380,7243.35026312557
82440,7147.76872317083
82500,7052.23615733938
82560,6956.7485648029
82620,6861.3030494183
82680,6765.89947189635
82740,6670.53768956638
82800,6575.21755553252
82860,6479.8873888735
82920,6384.59758701119
82980,6289.36408382332
83040,6194.18720147643
83100,6099.06700096732
83160,6004.00333493359
83220,5908.99605057279
83280,5814.04499485942
83340,5719.15001453063
83400,5624.32483974329
83460,5529.57651545559
83520,5434.90499347816
83580,5340.31022756954
83640,5245.79217344398
83700,5151.3588222699
83760,5057.00051861902
83820,4962.7074972945
83880,4868.47959808689
83940,4774.31666076359
84000,4680.2185250662
