Date,"Time
(UTC)","Decimal Time
(UTC)","Time
Seconds
(UTC)",Channel Name,"Ocean
Region","GES ID
(octal)","Channel
Unit ID",ChannelType,SU Type,BFO(Hz),BTO(us)
7/03/2014,15:59:55.413000,15.9987258333333,57595.4129999999,IOR-R600-0-36F8,IOR,305.0,10.0,R-Channel RX,0x10 - Log-on Request (ISU)/Log-on Flight Information (SSU),99.0,19380.0
7/03/2014,15:59:55.413000,15.9987258333333,57595.4129999999,IOR-R600-0-36F8,IOR,305.0,10.0,R-Channel RX,0x10 - Log-on Request (ISU)/Log-on Flight Information (SSU),99.0,19380.0
7/03/2014,16:00:13.406,16.0037238888889,57613.406,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,0x15 - Log-on/Log-off Acknowledge,103.0,14820.0
7/03/2014,16:00:13.906,16.0038627777778,57613.9060000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x15 - Log-on/Log-off Acknowledge,,
7/03/2014,16:00:17.430,16.0048416666667,57617.4300000001,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eleven Octet User Data,103.0,14740.0
7/03/2014,16:00:17.906,16.0049738888889,57617.906,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eleven Octet User Data,103.0,14780.0
7/03/2014,16:00:18.406,16.0051127777778,57618.4060000001,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,Eight Octet User Data,103.0,14820.0
7/03/2014,16:00:18.905,16.0052513888889,57618.905,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x62 - Acknowledge User Data,,
7/03/2014,16:00:20.906,16.0058072222222,57620.9059999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x71 - User Data (ISU) - RLS,,
7/03/2014,16:00:20.906,16.0058072222222,57620.9059999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:00:20.906,16.0058072222222,57620.9059999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:00:20.906,16.0058072222222,57620.9059999999,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,Subsequent Signalling Unit,,
7/03/2014,16:00:22.906,16.0063627777778,57622.9060000001,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,0x62 - Acknowledge User Data (R-channel),104.0,14740.0
7/03/2014,16:00:23.407,16.0065019444444,57623.4069999998,IOR-R1200-0-36D3,IOR,305.0,8.0,R-Channel RX,0x22 - Access Request (R/T-Channel),103.0,14820.0
7/03/2014,16:00:23.905,16.0066402777778,57623.9050000001,IOR-P10500-0-3859,IOR,305.0,10.0,P-Channel TX,0x51 - T-Channel Assignment,,
7/03/2014,16:00:27.741,16.0077058333333,57627.7409999999,IOR-T1200-0-36D7,IOR,305.0,8.0,T-Channel RX,0x71 - User Data (ISU) - RLS,86.0,9820.0
7/03/2014,16:00:27.901,16.0077502777778,57627.9010000001,IOR-T1200-0-36D7,IOR,305.0,8.0,T-Channel RX,Subsequent Signalling Unit,86.0,9820.0
7/03/2014,16:00:28.061,16.0077947222222,57628.0609999999,IOR-T1200-0-36D7,IOR,305.0,8.0,T-Channel RX,Subsequent Signalling Unit,88.0,9820.0
7/03/2014,16:00:28.221,16.0078391666667,57628.2210000001,IOR-T1200-0-36D7,IOR,305.0,8.0,T-Channel RX,Subsequent Signalling Unit,88.0,9820.0
7/03/2014,16:00:28.405,16.0078902777778,57628.4050000001,IOR-T1200-0-36D7,IOR,305.0,8.0,T-Channel RX,Subsequent Signalling Unit,88.0,9820.0
7/03/2014,16:00:28.541,16.0079280555556,57628.5410000002,IOR-T1200-0-36D7,IOR,305.0,8.0,T-Channel RX,Subsequent Signalling Unit,88.0,9820.0
