Latitude,Longitude,"Time
(UTC)","Seconds
(UTC)","Air
Temp
350 hPa
(°C)","Air
Temp
300 hPa
(°C)","Air
Temp
250 hPa
(°C)","Air
Temp
200 hPa
(°C)","Air
Temp
150 hPa
(°C)","∂SAT
350 hPa
26,632 ft
(°K)","∂SAT
300 hPa
30,066 ft
(°K)","∂SAT
250 hPa
34,000 ft
(°K)","∂SAT
200 hPa
38,632 ft
(°K)","∂SAT
150 hPa
44,321 ft
(°K)"
15,80,2019-03-09 18:00:00,64800,-24.05,-31.15,-41.25,-53.45,-66.85,13.7133184,13.4167592,11.1108,3.04952680000002,-10.3504732
15,80,2019-03-09 21:00:00,75600,-24.05,-31.15,-41.45,-53.35,-66.95,13.7133184,13.4167592,10.9108,3.14952680000005,-10.4504732
15,80,2019-03-09 00:00:00,86400,-24.25,-31.85,-41.25,-54.05,-67.05,13.5133184,12.7167592,11.1108,2.44952680000003,-10.5504732
15,80,2019-06-28 03:00:00,97200,-24.45,-32.35,-41.45,-54.25,-66.75,13.3133184,12.2167592,10.9108,2.24952680000004,-10.2504732
15,81,2019-03-09 18:00:00,64800,-24.15,-31.15,-41.05,-53.35,-66.75,13.6133184,13.4167592,11.3108,3.14952680000005,-10.2504732
15,81,2019-03-09 21:00:00,75600,-24.05,-31.05,-41.35,-52.85,-67.15,13.7133184,13.5167592,11.0108,3.64952680000005,-10.6504732
15,81,2019-03-09 00:00:00,86400,-24.65,-31.95,-41.45,-53.15,-67.35,13.1133184,12.6167592,10.9108,3.34952680000004,-10.8504732
15,81,2019-06-28 03:00:00,97200,-24.25,-32.25,-41.85,-53.55,-67.35,13.5133184,12.3167592,10.5108,2.94952680000003,-10.8504732
15,82,2019-03-09 18:00:00,64800,-24.15,-31.25,-41.05,-53.45,-66.65,13.6133184,13.3167592,11.3108,3.04952680000002,-10.1504732
15,82,2019-03-09 21:00:00,75600,-23.75,-30.95,-41.45,-52.75,-67.65,14.0133184,13.6167592,10.9108,3.74952680000004,-11.1504732
15,82,2019-03-09 00:00:00,86400,-24.15,-31.85,-41.95,-53.15,-67.45,13.6133184,12.7167592,10.4108,3.34952680000004,-10.9504732
