Time (UTCG),Time (seconds),x (km),y (km),z (km),Unnamed: 5,"Vx
(km/sec)","Vy
(km/sec)","Vz
(km/sec)",Unnamed: 9
2014-03-07 15:59:55,57595.0,18118.876609,38081.758097,706.319264,42178.3460585321,0.002243,-0.000872,0.07127,0.0713106186552886
2014-03-07 16:00:00,57600.0,18118.887823,38081.753728,706.675471,42178.3528977106,0.002243,-0.000873,0.071251,0.0712916417190683
2014-03-07 16:00:01,57601.0,18118.890066,38081.752854,706.74672,42178.3542659403,0.002243,-0.000874,0.071247,0.0712876562526781
2014-03-07 16:00:02,57602.0,18118.892309,38081.751981,706.817965,42178.3556351262,0.002243,-0.000874,0.071243,0.0712836585340567
2014-03-07 16:00:03,57603.0,18118.894551,38081.751107,706.889206,42178.3570030331,0.002243,-0.000874,0.071239,0.0712796608156913
2014-03-07 16:00:04,57604.0,18118.896794,38081.750233,706.960444,42178.3583714397,0.002243,-0.000874,0.071236,0.0712766625270853
2014-03-07 16:00:05,57605.0,18118.899037,38081.749359,707.031678,42178.3597398997,0.002243,-0.000874,0.071232,0.0712726648091679
2014-03-07 16:00:06,57606.0,18118.901279,38081.748485,707.102908,42178.3611079834,0.002243,-0.000874,0.071228,0.0712686670915066
2014-03-07 16:00:07,57607.0,18118.903522,38081.747611,707.174134,42178.3624765501,0.002243,-0.000874,0.071224,0.0712646693741015
2014-03-07 16:00:08,57608.0,18118.905764,38081.746736,707.245356,42178.3638438375,0.002242,-0.000874,0.071221,0.0712616396176793
2014-03-07 16:00:09,57609.0,18118.908007,38081.745862,707.316575,42178.3652125275,0.002242,-0.000875,0.071217,0.0712576541713239
2014-03-07 16:00:10,57610.0,18118.910249,38081.744987,707.38779,42178.3665799383,0.002242,-0.000875,0.071213,0.0712536564535463
2014-03-07 16:00:11,57611.0,18118.912491,38081.744112,707.459002,42178.3679474191,0.002242,-0.000875,0.071209,0.0712496587360248
2014-03-07 16:00:12,57612.0,18118.914734,38081.743237,707.530209,42178.369315366,0.002242,-0.000875,0.071206,0.0712466604480519
2014-03-07 16:00:13,57613.0,18118.916976,38081.742362,707.601413,42178.3706829532,0.002242,-0.000875,0.071202,0.0712426627309788
2014-03-07 16:00:14,57614.0,18118.919218,38081.741487,707.672613,42178.3720505936,0.002242,-0.000875,0.071198,0.0712386650141621
2014-03-07 16:00:15,57615.0,18118.921461,38081.740612,707.743809,42178.3734187168,0.002242,-0.000875,0.071194,0.0712346672976017
2014-03-07 16:00:16,57616.0,18118.923703,38081.739736,707.815001,42178.3747855606,0.002242,-0.000876,0.071191,0.07123168130123
2014-03-07 16:00:17,57617.0,18118.925945,38081.738861,707.88619,42178.3761533773,0.002242,-0.000876,0.071187,0.0712276835858081
2014-03-07 16:00:18,57618.0,18118.928187,38081.737985,707.957375,42178.3775203441,0.002242,-0.000876,0.071183,0.0712236858706428
2014-03-07 16:00:19,57619.0,18118.930429,38081.737109,708.028556,42178.3788873641,0.002242,-0.000876,0.071179,0.071219688155734
2014-03-07 16:00:20,57620.0,18118.932671,38081.736233,708.099734,42178.3802544539,0.002242,-0.000876,0.071176,0.0712166898697209
