utc,band,tx,rx,tx_grid,rx_grid,tx_lat,tx_lon,rx_lat,rx_lon,snr,freq_mhz,drift,distance_km,arc_id,arc_time,arc_radius_km,min_dist_to_arc_km,path
2014-03-07 18:16:00,14,2E0DSS,K4COD,IO82xl,EM73sc,52.479167,-2.041667,33.104167,-84.458333,-21,14.097025,0,6668,ping-182527,2014-03-07T18:25:27+00:00,3749.36,126.92,long
2014-03-07 18:16:00,14,2E0DSS,K4RCG,IO82xl,FM08xl,52.479167,-2.041667,38.479167,-78.041667,-20,14.097043,0,5837,ping-182527,2014-03-07T18:25:27+00:00,3749.36,113.71,long
2014-03-07 18:16:00,14,2E0DSS,HB9TVP,IO82xl,JN36su,52.479167,-2.041667,46.854167,7.541667,6,14.097038,0,930,ping-182527,2014-03-07T18:25:27+00:00,3749.36,138.96,long
2014-03-07 18:16:00,14,2E0DSS,DK6UG,IO82xl,JN49cm,52.479167,-2.041667,49.520833,8.208333,-10,14.097025,0,788,ping-182527,2014-03-07T18:25:27+00:00,3749.36,39.76,long
2014-03-07 18:16:00,14,2E0DSS,OE3VMS,IO82xl,JN78tq,52.479167,-2.041667,48.687500,15.625000,0,14.097026,0,1313,ping-182527,2014-03-07T18:25:27+00:00,3749.36,213.99,long
2014-03-07 19:44:00,14,2E0DSS,DK6UG,IO82xl,JN49cm,52.479167,-2.041667,49.520833,8.208333,-9,14.097026,0,788,ping-194102,2014-03-07T19:41:02+00:00,3514.61,197.04,long
2014-03-07 20:42:00,14,2E0DSS,WQ7Q,IO82xl,CN87mm,52.479167,-2.041667,47.520833,-122.958333,-26,14.097044,0,7575,ping-204104,2014-03-07T20:41:04+00:00,3570.98,7.09,long
2014-03-07 21:38:00,14,2E0DSS,WQ7Q,IO82xl,CN87mm,52.479167,-2.041667,47.520833,-122.958333,-24,14.097043,0,7575,ping-214126,2014-03-07T21:41:26+00:00,3807.31,50.74,long
2014-03-07 21:38:00,14,2E0DSS,AF6CH,IO82xl,DM09ba,52.479167,-2.041667,39.020833,-119.875000,-23,14.097019,0,8210,ping-214126,2014-03-07T21:41:26+00:00,3807.31,56.55,long
2014-03-07 21:38:00,14,2E0DSS,AD4PT,IO82xl,EM12kx,52.479167,-2.041667,32.979167,-97.125000,-19,14.097022,0,7480,ping-214126,2014-03-07T21:41:26+00:00,3807.31,84.41,long
2014-03-07 21:38:00,14,2E0DSS,AI4RY,IO82xl,EM72go,52.479167,-2.041667,32.604167,-85.458333,-17,14.09703,0,6773,ping-214126,2014-03-07T21:41:26+00:00,3807.31,18.50,long
2014-03-07 21:38:00,14,2E0DSS,KB1MVX,IO82xl,EM73mm,52.479167,-2.041667,33.520833,-84.958333,-22,14.097018,0,6676,ping-214126,2014-03-07T21:41:26+00:00,3807.31,55.56,long
2014-03-07 22:40:00,14,2E0DSS,AD4PT,IO82xl,EM12kx,52.479167,-2.041667,32.979167,-97.125000,-33,14.097023,0,7480,ping-224121,2014-03-07T22:41:21+00:00,4182.70,59.45,long
2014-03-07 22:40:00,14,2E0DSS,AI4RY,IO82xl,EM72go,52.479167,-2.041667,32.604167,-85.458333,-22,14.09703,0,6773,ping-224121,2014-03-07T22:41:21+00:00,4182.70,60.75,long
2014-03-07 22:40:00,14,2E0DSS,K4COD,IO82xl,EM73sc,52.479167,-2.041667,33.104167,-84.458333,-22,14.097025,0,6668,ping-224121,2014-03-07T22:41:21+00:00,4182.70,73.07,long
2014-03-07 22:40:00,14,2E0DSS,W9HLY,IO82xl,EN70mt,52.479167,-2.041667,40.812500,-84.958333,-29,14.097025,0,6103,ping-224121,2014-03-07T22:41:21+00:00,4182.70,102.43,long
2014-03-08 00:06:00,14,2E0DSS,KC3BWN,IO82xl,FM19lb,52.479167,-2.041667,39.062500,-77.041667,-27,14.097027,0,5729,ping-001059,2014-03-08T00:10:59+00:00,4862.96,183.27,long
2014-03-08 00:06:00,14,2E0DSS,WA3DNM,IO82xl,FM29mm,52.479167,-2.041667,39.520833,-74.958333,-24,14.097024,0,5569,ping-001059,2014-03-08T00:10:59+00:00,4862.96,113.48,long
2014-03-08 00:06:00,14,2E0DSS,VE1AIM,IO82xl,FN84ds,52.479167,-2.041667,44.770833,-63.708333,-26,14.09703,0,4470,ping-001059,2014-03-08T00:10:59+00:00,4862.96,154.50,long
2014-03-08 00:32:00,14,2E0DSS,AD4PT,IO82xl,EM12kx,52.479167,-2.041667,32.979167,-97.125000,-22,14.097022,0,7480,ping-001929,2014-03-08T00:19:29+00:00,4929.11,119.29,long
2014-03-08 00:32:00,14,2E0DSS,K4COD,IO82xl,EM73sc,52.479167,-2.041667,33.104167,-84.458333,-22,14.097025,0,6668,ping-001929,2014-03-08T00:19:29+00:00,4929.11,80.86,long
2014-03-07 20:48:00,14,2E1CJF,OZ7IT,IO83rl,JO65df,53.479167,-2.541667,55.229167,12.291667,-9,14.097151,0,979,ping-204104,2014-03-07T20:41:04+00:00,3570.98,212.93,long
2014-03-07 21:28:00,14,2E1CJF,AD4PT,IO83rl,EM12kx,53.479167,-2.541667,32.979167,-97.125000,-26,14.097118,0,7403,ping-214126,2014-03-07T21:41:26+00:00,3807.31,37.85,long
2014-03-07 21:28:00,14,2E1CJF,HS0ZKM,IO83rl,OK03gr,53.479167,-2.541667,13.729167,100.541667,-28,14.097119,0,9626,ping-214126,2014-03-07T21:41:26+00:00,3807.31,107.32,short
2014-03-07 22:30:00,14,2E1CJF,WQ7Q,IO83rl,CN87mm,53.479167,-2.541667,47.520833,-122.958333,-19,14.097139,0,7468,ping-224121,2014-03-07T22:41:21+00:00,4182.70,11.61,long
2014-03-07 22:42:00,14,2E1CJF,WQ7Q,IO83rl,CN87mm,53.479167,-2.541667,47.520833,-122.958333,-20,14.097139,0,7468,ping-224121,2014-03-07T22:41:21+00:00,4182.70,11.61,long
2014-03-07 22:42:00,14,2E1CJF,AF6CH,IO83rl,DM09ba,53.479167,-2.541667,39.020833,-119.875000,-20,14.097114,0,8109,ping-224121,2014-03-07T22:41:21+00:00,4182.70,56.20,long
2014-03-07 22:42:00,14,2E1CJF,K4EH,IO83rl,EM73mm,53.479167,-2.541667,33.520833,-84.958333,-22,14.097156,0,6612,ping-224121,2014-03-07T22:41:21+00:00,4182.70,14.52,long
2014-03-07 20:58:00,7,9V1TD,VK7BO,OJ11wi,QE38mo,1.354167,103.875000,-41.395833,147.041667,-16,7.040081,0,6438,ping-204104,2014-03-07T20:41:04+00:00,3570.98,9.06,long
2014-03-07 18:10:00,14,AA7FV,K6TE,DM42pg,CM96ax,32.270833,-110.708333,36.979167,-121.958333,3,14.097156,0,1154,ping-182527,2014-03-07T18:25:27+00:00,3749.36,53.85,long
2014-03-07 18:10:00,14,AA7FV,KC6KGE,DM42pg,DM05gd,32.270833,-110.708333,35.145833,-119.458333,-1,14.097126,0,870,ping-182527,2014-03-07T18:25:27+00:00,3749.36,59.18,long
2014-03-07 18:10:00,14,AA7FV,KI7CI,DM42pg,DM09ch,32.270833,-110.708333,39.312500,-119.791667,-1,14.097158,0,1132,ping-182527,2014-03-07T18:25:27+00:00,3749.36,149.85,long
2014-03-07 18:10:00,14,AA7FV,N6RY,DM42pg,DM13id,32.270833,-110.708333,33.145833,-117.291667,-11,14.097155,0,623,ping-182527,2014-03-07T18:25:27+00:00,3749.36,45.70,long
2014-03-07 18:10:00,14,AA7FV,KE7A,DM42pg,EM12kx,32.270833,-110.708333,32.979167,-97.125000,2,14.097155,0,1274,ping-182527,2014-03-07T18:25:27+00:00,3749.36,0.26,long
2014-03-07 18:14:00,14,AA7FV,K6TE,DM42pg,CM96ax,32.270833,-110.708333,36.979167,-121.958333,3,14.097155,0,1154,ping-182527,2014-03-07T18:25:27+00:00,3749.36,53.85,long
2014-03-07 18:14:00,14,AA7FV,KC6KGE,DM42pg,DM05gd,32.270833,-110.708333,35.145833,-119.458333,-6,14.097121,-1,870,ping-182527,2014-03-07T18:25:27+00:00,3749.36,59.18,long
2014-03-07 18:14:00,14,AA7FV,AF6CH,DM42pg,DM09ba,32.270833,-110.708333,39.020833,-119.875000,3,14.097149,0,1117,ping-182527,2014-03-07T18:25:27+00:00,3749.36,51.40,long
2014-03-07 18:14:00,14,AA7FV,KI7CI,DM42pg,DM09ch,32.270833,-110.708333,39.312500,-119.791667,4,14.097157,0,1132,ping-182527,2014-03-07T18:25:27+00:00,3749.36,149.85,long
2014-03-07 18:14:00,14,AA7FV,AF5ES,DM42pg,DM65vt,32.270833,-110.708333,35.812500,-106.208333,1,14.09716,0,572,ping-182527,2014-03-07T18:25:27+00:00,3749.36,5.15,long
2014-03-07 18:14:00,14,AA7FV,KE7A,DM42pg,EM12kx,32.270833,-110.708333,32.979167,-97.125000,8,14.097154,0,1274,ping-182527,2014-03-07T18:25:27+00:00,3749.36,0.26,long
2014-03-07 18:40:00,14,AA7FV,KI7CI,DM42pg,DM09ch,32.270833,-110.708333,39.312500,-119.791667,2,14.097157,0,1132,ping-182527,2014-03-07T18:25:27+00:00,3749.36,149.85,long
2014-03-07 18:40:00,14,AA7FV,KE7A,DM42pg,EM12kx,32.270833,-110.708333,32.979167,-97.125000,4,14.097154,0,1274,ping-182527,2014-03-07T18:25:27+00:00,3749.36,0.26,long
2014-03-07 18:44:00,14,AA7FV,KC6KGE,DM42pg,DM05gd,32.270833,-110.708333,35.145833,-119.458333,-7,14.097123,-1,870,ping-182527,2014-03-07T18:25:27+00:00,3749.36,59.18,long
2014-03-07 18:44:00,14,AA7FV,AF6CH,DM42pg,DM09ba,32.270833,-110.708333,39.020833,-119.875000,5,14.097148,0,1117,ping-182527,2014-03-07T18:25:27+00:00,3749.36,51.40,long
2014-03-07 18:44:00,14,AA7FV,KI7CI,DM42pg,DM09ch,32.270833,-110.708333,39.312500,-119.791667,5,14.097156,0,1132,ping-182527,2014-03-07T18:25:27+00:00,3749.36,149.85,long
2014-03-07 18:44:00,14,AA7FV,DK6UG,DM42pg,JN49cm,32.270833,-110.708333,49.520833,8.208333,-21,14.097155,0,9108,ping-182527,2014-03-07T18:25:27+00:00,3749.36,51.35,long
2014-03-07 19:40:00,14,AA7FV,KC6KGE,DM42pg,DM05gd,32.270833,-110.708333,35.145833,-119.458333,-5,14.097121,-1,870,ping-194102,2014-03-07T19:41:02+00:00,3514.61,134.72,long
2014-03-07 19:40:00,14,AA7FV,KI7CI,DM42pg,DM09ch,32.270833,-110.708333,39.312500,-119.791667,1,14.097156,0,1132,ping-194102,2014-03-07T19:41:02+00:00,3514.61,78.86,long
2014-03-07 19:40:00,14,AA7FV,KE7A,DM42pg,EM12kx,32.270833,-110.708333,32.979167,-97.125000,2,14.097153,0,1274,ping-194102,2014-03-07T19:41:02+00:00,3514.61,137.13,long
2014-03-07 19:44:00,14,AA7FV,KC6KGE,DM42pg,DM05gd,32.270833,-110.708333,35.145833,-119.458333,-5,14.097122,1,870,ping-194102,2014-03-07T19:41:02+00:00,3514.61,134.72,long
2014-03-07 19:44:00,14,AA7FV,KI7CI,DM42pg,DM09ch,32.270833,-110.708333,39.312500,-119.791667,-5,14.097155,0,1132,ping-194102,2014-03-07T19:41:02+00:00,3514.61,78.86,long
2014-03-07 19:44:00,14,AA7FV,AF5ES,DM42pg,DM65vt,32.270833,-110.708333,35.812500,-106.208333,-12,14.097158,0,572,ping-194102,2014-03-07T19:41:02+00:00,3514.61,214.01,long
2014-03-07 19:44:00,14,AA7FV,KE7A,DM42pg,EM12kx,32.270833,-110.708333,32.979167,-97.125000,6,14.097152,0,1274,ping-194102,2014-03-07T19:41:02+00:00,3514.61,137.13,long
2014-03-07 20:40:00,14,AA7FV,KC6KGE,DM42pg,DM05gd,32.270833,-110.708333,35.145833,-119.458333,-4,14.097121,0,870,ping-204104,2014-03-07T20:41:04+00:00,3570.98,72.79,long
2014-03-07 20:40:00,14,AA7FV,KI7CI,DM42pg,DM09ch,32.270833,-110.708333,39.312500,-119.791667,-4,14.097154,0,1132,ping-204104,2014-03-07T20:41:04+00:00,3570.98,16.19,long
2014-03-07 20:40:00,14,AA7FV,AF5ES,DM42pg,DM65vt,32.270833,-110.708333,35.812500,-106.208333,-3,14.097156,0,572,ping-204104,2014-03-07T20:41:04+00:00,3570.98,180.29,long
2014-03-07 20:40:00,14,AA7FV,KE7A,DM42pg,EM12kx,32.270833,-110.708333,32.979167,-97.125000,3,14.097151,0,1274,ping-204104,2014-03-07T20:41:04+00:00,3570.98,73.99,long
2014-03-07 20:44:00,14,AA7FV,KC6KGE,DM42pg,DM05gd,32.270833,-110.708333,35.145833,-119.458333,-4,14.097118,-1,870,ping-204104,2014-03-07T20:41:04+00:00,3570.98,72.79,long
2014-03-07 20:44:00,14,AA7FV,AF6CH,DM42pg,DM09ba,32.270833,-110.708333,39.020833,-119.875000,3,14.097145,0,1117,ping-204104,2014-03-07T20:41:04+00:00,3570.98,19.84,long
2014-03-07 20:44:00,14,AA7FV,KI7CI,DM42pg,DM09ch,32.270833,-110.708333,39.312500,-119.791667,5,14.097153,0,1132,ping-204104,2014-03-07T20:41:04+00:00,3570.98,16.19,long
2014-03-07 20:44:00,14,AA7FV,AF5ES,DM42pg,DM65vt,32.270833,-110.708333,35.812500,-106.208333,0,14.097156,0,572,ping-204104,2014-03-07T20:41:04+00:00,3570.98,180.29,long
2014-03-07 20:44:00,14,AA7FV,KE7A,DM42pg,EM12kx,32.270833,-110.708333,32.979167,-97.125000,8,14.09715,0,1274,ping-204104,2014-03-07T20:41:04+00:00,3570.98,73.99,long
2014-03-07 21:40:00,14,AA7FV,K6CCA,DM42pg,CM97ed,32.270833,-110.708333,37.145833,-121.625000,-1,14.097152,0,1135,ping-214126,2014-03-07T21:41:26+00:00,3807.31,41.17,long
2014-03-07 21:40:00,14,AA7FV,KC6KGE,DM42pg,DM05gd,32.270833,-110.708333,35.145833,-119.458333,-3,14.097117,-1,870,ping-214126,2014-03-07T21:41:26+00:00,3807.31,3.03,long
2014-03-07 21:40:00,14,AA7FV,AF5ES,DM42pg,DM65vt,32.270833,-110.708333,35.812500,-106.208333,-8,14.097156,0,572,ping-214126,2014-03-07T21:41:26+00:00,3807.31,50.16,long
2014-03-07 21:40:00,14,AA7FV,AD4PT,DM42pg,EM12kx,32.270833,-110.708333,32.979167,-97.125000,1,14.097148,0,1274,ping-214126,2014-03-07T21:41:26+00:00,3807.31,72.77,long
2014-03-07 21:44:00,14,AA7FV,K6CCA,DM42pg,CM97ed,32.270833,-110.708333,37.145833,-121.625000,6,14.097151,0,1135,ping-214126,2014-03-07T21:41:26+00:00,3807.31,41.17,long
2014-03-07 21:44:00,14,AA7FV,AF6CH,DM42pg,DM09ba,32.270833,-110.708333,39.020833,-119.875000,6,14.097143,0,1117,ping-214126,2014-03-07T21:41:26+00:00,3807.31,106.10,long
2014-03-07 21:44:00,14,AA7FV,AF5ES,DM42pg,DM65vt,32.270833,-110.708333,35.812500,-106.208333,-3,14.097155,0,572,ping-214126,2014-03-07T21:41:26+00:00,3807.31,50.16,long
2014-03-07 21:44:00,14,AA7FV,AD4PT,DM42pg,EM12kx,32.270833,-110.708333,32.979167,-97.125000,5,14.097148,0,1274,ping-214126,2014-03-07T21:41:26+00:00,3807.31,72.77,long
2014-03-07 22:40:00,14,AA7FV,K6CCA,DM42pg,CM97ed,32.270833,-110.708333,37.145833,-121.625000,4,14.097151,0,1135,ping-224121,2014-03-07T22:41:21+00:00,4182.70,23.38,long
2014-03-07 22:40:00,14,AA7FV,AF6CH,DM42pg,DM09ba,32.270833,-110.708333,39.020833,-119.875000,2,14.097143,0,1117,ping-224121,2014-03-07T22:41:21+00:00,4182.70,97.27,long
2014-03-07 22:40:00,14,AA7FV,AD4PT,DM42pg,EM12kx,32.270833,-110.708333,32.979167,-97.125000,-1,14.097148,0,1274,ping-224121,2014-03-07T22:41:21+00:00,4182.70,31.60,long
2014-03-07 22:40:00,14,AA7FV,G4DND,DM42pg,IO80mm,32.270833,-110.708333,50.520833,-2.958333,-18,14.097152,-1,8407,ping-224121,2014-03-07T22:41:21+00:00,4182.70,46.78,long
2014-03-07 22:40:00,14,AA7FV,2E1CJF,DM42pg,IO83rl,32.270833,-110.708333,53.479167,-2.541667,-18,14.097158,0,8251,ping-224121,2014-03-07T22:41:21+00:00,4182.70,71.20,long
2014-03-07 22:40:00,14,AA7FV,M6NNB,DM42pg,IO91ue,32.270833,-110.708333,51.187500,-0.291667,-22,14.09717,0,8521,ping-224121,2014-03-07T22:41:21+00:00,4182.70,20.98,long
2014-03-07 22:40:00,14,AA7FV,IK1NET,DM42pg,JN34su,32.270833,-110.708333,44.854167,7.541667,-15,14.097157,0,9415,ping-224121,2014-03-07T22:41:21+00:00,4182.70,31.80,long
2014-03-07 22:40:00,14,AA7FV,DK6UG,DM42pg,JN49cm,32.270833,-110.708333,49.520833,8.208333,-12,14.097148,0,9108,ping-224121,2014-03-07T22:41:21+00:00,4182.70,87.84,long
2014-03-07 22:40:00,14,AA7FV,DG7RJ,DM42pg,JN58th,32.270833,-110.708333,48.312500,11.625000,-25,14.09715,0,9382,ping-224121,2014-03-07T22:41:21+00:00,4182.70,73.95,long
2014-03-07 22:40:00,14,AA7FV,4X1RF,DM42pg,KM72ls,32.270833,-110.708333,32.770833,34.958333,-25,14.097151,0,11936,ping-224121,2014-03-07T22:41:21+00:00,4182.70,63.79,long
