time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance,snr_z,drift_z,arc_id
2014-03-07 18:06:00,10,DC4LC,48.646,9.125,PA3FNY,52.104,5.125,10140270,3,0,30,478,11.242,,ping-182527
2014-03-07 18:06:00,10,G8VDQ,51.521,-0.292,PA3FNY,52.104,5.125,10140160,-6,0,37,378,11.129,,ping-182527
2014-03-07 18:06:00,10,G8VDQ,51.521,-0.292,ON7KO,51.188,4.208,10140152,-6,0,37,315,5.059,,ping-182527
2014-03-07 18:06:00,10,DC4LC,48.646,9.125,ON7KO,51.188,4.208,10140261,9,0,30,451,10.455,,ping-182527
2014-03-07 18:06:00,28,KD6RF,37.688,-121.792,PA0O,53.271,6.625,28126110,-12,0,37,8751,15.513,,ping-182527
2014-03-07 18:06:00,28,K4RCG,38.479,-78.042,PA0O,53.271,6.625,28126147,4,0,37,6357,5.171,,ping-182527
2014-03-07 18:08:00,10,G0PKT,51.479,0.958,DK6UG,49.521,8.208,10140174,0,0,23,557,5.666,,ping-182527
2014-03-07 18:08:00,14,ON7KB,51.354,4.375,GM4SFW,57.521,-4.375,14097134,0,0,33,888,6.408,,ping-182527
2014-03-07 18:10:00,7,US3IRX,48.313,37.958,PC4T,52.604,4.708,7040184,-31,0,37,2379,-7.419,,ping-182527
2014-03-07 18:10:00,10,ON7KO,51.188,4.208,G0MQW,51.479,-0.958,10140199,11,0,37,360,9.443,,ping-182527
2014-03-07 18:10:00,10,ON7KO,51.188,4.208,DL1GMG,48.396,9.958,10140206,-5,0,37,516,6.520,,ping-182527
2014-03-07 18:10:00,10,ON7KO,51.188,4.208,G8YTR,50.896,-1.042,10140214,10,0,37,368,20.909,,ping-182527
2014-03-07 18:12:00,10,G8VDQ,51.521,-0.292,PA3FNY,52.104,5.125,10140144,-5,0,37,378,11.804,,ping-182527
2014-03-07 18:12:00,14,G4PIR,53.604,-1.375,OZ7IT,55.229,12.292,14097117,-8,0,17,901,9.443,,ping-182527
2014-03-07 18:14:00,14,VE3DVV,43.146,-79.875,OZ7IT,55.229,12.292,14097063,-25,0,23,6328,-7.195,,ping-182527
2014-03-07 18:14:00,14,DG7RJ,48.313,11.625,GM4SFW,57.521,-4.375,14097175,-15,0,33,1476,-6.745,,ping-182527
2014-03-07 18:14:00,28,WK0I,32.854,-97.042,K4RCG,38.479,-78.042,28126094,-16,0,37,1823,-18.211,,ping-182527
2014-03-07 18:14:00,28,K3SIW,42.021,-88.375,PA0O,53.271,6.625,28126126,8,2,37,6688,6.520,,ping-182527
2014-03-07 18:16:00,14,G8FIK,52.063,-0.792,DK6UG,49.521,8.208,14097032,-9,0,37,692,5.396,,ping-182527
2014-03-07 18:16:00,28,DL6NL,50.063,10.208,KB9AMG,42.979,-88.375,28126099,-22,0,27,7015,-6.070,,ping-182527
2014-03-07 18:18:00,10,G0PKT,51.479,0.958,DK6UG,49.521,8.208,10140174,2,0,23,557,6.205,,ping-182527
2014-03-07 18:18:00,14,KI7CI,39.313,-119.792,DK6UG,49.521,8.208,14097178,-33,0,40,8902,-5.396,,ping-182527
2014-03-07 18:18:00,28,OZ7IT,55.229,12.292,KC2GMM,41.479,-75.042,28126178,-11,-3,37,6190,5.396,-1.349,ping-182527
2014-03-07 18:18:00,28,VE6PDQ/1,53.479,-113.542,KD6RF,37.688,-121.792,28126169,-13,2,37,1867,-5.171,,ping-182527
2014-03-07 18:24:00,14,G8FIK,52.063,-0.792,DK6UG,49.521,8.208,14097032,-9,0,37,692,5.396,,ping-182527
2014-03-07 18:24:00,28,K3SIW,42.021,-88.375,PA0O,53.271,6.625,28126127,10,1,37,6688,6.970,,ping-182527
2014-03-07 18:24:00,28,K3SIW,42.021,-88.375,WA7HL,31.438,-109.792,28126165,-4,1,37,2233,-10.792,,ping-182527
2014-03-07 18:28:00,10,G0PKT,51.479,0.958,DK6UG,49.521,8.208,10140173,0,0,23,557,5.666,,ping-182527
2014-03-07 18:28:00,28,KC2GMM,41.104,-74.292,WA7HL,31.438,-109.792,28126147,-4,-1,37,3332,7.419,,ping-182527
2014-03-07 18:30:00,14,WA3DNM,39.938,-75.542,LA9JO,69.063,18.542,14097069,-29,0,37,6065,-18.886,,ping-182527
