time,band,tx_sign,tx_lat,tx_lon,rx_sign,rx_lat,rx_lon,frequency,snr,drift,power,distance
2014-03-07 20:06:00,10,OX3XR,64.188,-51.708,N1NCO,42.479,-71.458,10140118,-27,0,33,2721
2014-03-07 20:32:00,10,OX3XR,64.188,-51.708,N1NCO,42.479,-71.458,10140118,-28,0,33,2721
2014-03-07 20:54:00,10,OX3XR,64.188,-51.708,K9AN,40.104,-88.125,10140102,-24,0,33,3560
2014-03-07 21:04:00,10,OX3XR,64.188,-51.708,K9AN,40.104,-88.125,10140102,-24,0,33,3560
2014-03-07 21:04:00,10,OX3XR,64.188,-51.708,N1NCO,42.479,-71.458,10140117,-24,0,33,2721
2014-03-07 21:14:00,10,OX3XR,64.188,-51.708,K9AN,40.104,-88.125,10140102,-20,0,33,3560
2014-03-07 21:14:00,10,OX3XR,64.188,-51.708,N1NCO,42.479,-71.458,10140117,-21,0,33,2721
2014-03-07 21:26:00,10,OX3XR,64.188,-51.708,N2NOM,42.271,-75.875,10140104,-23,0,33,2881
2014-03-07 21:26:00,10,OX3XR,64.188,-51.708,K9AN,40.104,-88.125,10140102,-23,0,33,3560
2014-03-07 21:26:00,10,OX3XR,64.188,-51.708,N1NCO,42.479,-71.458,10140118,-22,0,33,2721
2014-03-07 21:40:00,10,OX3XR,64.188,-51.708,N2NOM,42.271,-75.875,10140103,-21,0,33,2881
2014-03-07 21:40:00,10,OX3XR,64.188,-51.708,KB9VLR,44.396,-88.208,10140106,-27,0,33,3154
2014-03-07 21:40:00,10,OX3XR,64.188,-51.708,N1NCO,42.479,-71.458,10140118,-21,0,33,2721
2014-03-07 21:40:00,10,OX3XR,64.188,-51.708,K9AN,40.104,-88.125,10140103,-19,0,33,3560
2014-03-07 21:54:00,10,OX3XR,64.188,-51.708,N1NCO,42.479,-71.458,10140118,-18,0,33,2721
2014-03-07 21:54:00,10,OX3XR,64.188,-51.708,N2NOM,42.271,-75.875,10140105,-22,0,33,2881
2014-03-07 21:54:00,10,OX3XR,64.188,-51.708,K9AN,40.104,-88.125,10140103,-16,0,33,3560
2014-03-07 22:06:00,10,OX3XR,64.188,-51.708,N2NOM,42.271,-75.875,10140105,-21,0,33,2881
2014-03-07 22:06:00,10,OX3XR,64.188,-51.708,K4RCG,38.479,-78.042,10140115,-25,0,33,3341
2014-03-07 22:06:00,10,OX3XR,64.188,-51.708,K9AN,40.104,-88.125,10140103,-15,0,33,3560
2014-03-07 22:06:00,10,OX3XR,64.188,-51.708,KB9VLR,44.396,-88.208,10140106,-23,0,33,3154
2014-03-07 22:06:00,10,OX3XR,64.188,-51.708,N1NCO,42.479,-71.458,10140118,-24,0,33,2721
2014-03-07 22:28:00,10,OX3XR,64.188,-51.708,K9AN,40.104,-88.125,10140102,-14,0,33,3560
2014-03-07 22:28:00,10,OX3XR,64.188,-51.708,N2NOM,42.271,-75.875,10140102,-25,0,33,2881
2014-03-07 22:28:00,10,OX3XR,64.188,-51.708,KB9VLR,44.396,-88.208,10140105,-23,0,33,3154
2014-03-07 22:28:00,10,OX3XR,64.188,-51.708,N1NCO,42.479,-71.458,10140118,-20,0,33,2721
2014-03-07 22:42:00,10,OX3XR,64.188,-51.708,N2NOM,42.271,-75.875,10140103,-33,0,33,2881
2014-03-07 22:42:00,10,OX3XR,64.188,-51.708,K9AN,40.104,-88.125,10140103,-33,0,33,3560
