tx_sign,rx_sign,band,count,snr_med,snr_mad,freq_med,freq_mad,drift_med,drift_mad
001PDC,W4MO,14,1,-33.0,0.0,14097062.0,0.0,0.0,0.0
1U3SHZ,KB9AMG,28,1,-13.0,0.0,28126188.0,0.0,-4.0,0.0
2E0DSS,4X1RF,14,3,-20.0,2.0,14097025.0,0.0,0.0,0.0
2E0DSS,AD4PT,14,3,-25.0,6.0,14097022.0,0.0,0.0,0.0
2E0DSS,AF6CH,14,2,-25.0,2.0,14097019.0,0.0,0.5,0.5
2E0DSS,AI4RY,14,4,-22.0,1.0,14097030.0,0.0,0.0,0.0
2E0DSS,DC0DX,14,1,-28.0,0.0,14097032.0,0.0,0.0,0.0
2E0DSS,DK3PM,14,1,-23.0,0.0,14097021.0,0.0,0.0,0.0
2E0DSS,DK3PZ,14,1,-28.0,0.0,14097041.0,0.0,0.0,0.0
2E0DSS,DK6UG,14,10,-16.5,4.5,14097025.0,1.0,0.0,0.0
2E0DSS,DL5RBD,14,2,-27.5,1.5,14097028.5,1.5,0.0,0.0
2E0DSS,F4MZI,14,1,-24.0,0.0,14097011.0,0.0,0.0,0.0
2E0DSS,F8AOF,14,2,-25.5,2.5,14097060.5,5.5,0.5,0.5
2E0DSS,G0MKI,14,1,-22.0,0.0,14097041.0,0.0,0.0,0.0
2E0DSS,G3JKF,14,3,-22.0,2.0,14097033.0,1.0,0.0,0.0
2E0DSS,G4DND,14,5,-25.0,1.0,14097037.0,1.0,0.0,0.0
2E0DSS,GM4SFW,14,4,-23.0,1.5,14097034.5,1.0,0.0,0.0
2E0DSS,HB9EWH,14,2,-25.5,3.5,14097025.5,0.5,-0.5,0.5
2E0DSS,HB9JAQ,14,2,-24.0,1.0,14097035.0,0.0,-0.5,0.5
2E0DSS,HB9TVP,14,3,-27.0,1.0,14097038.0,0.0,0.0,0.0
2E0DSS,IK1RGM,14,1,-14.0,0.0,14097026.0,0.0,0.0,0.0
2E0DSS,JH1GYE,14,1,-25.0,0.0,14097027.0,0.0,0.0,0.0
2E0DSS,K4COD,14,5,-20.0,2.0,14097025.0,0.0,0.0,0.0
2E0DSS,K4EH,14,1,-23.0,0.0,14097058.0,0.0,0.0,0.0
2E0DSS,K4RCG,14,7,-19.0,1.0,14097036.0,1.0,0.0,0.0
2E0DSS,K9AN,14,12,-12.0,2.0,14097025.0,0.0,0.0,0.0
2E0DSS,KB1MVX,14,1,-22.0,0.0,14097018.0,0.0,0.0,0.0
2E0DSS,KB1SUA,14,1,-17.0,0.0,14097039.0,0.0,0.0,0.0
2E0DSS,KC3AVT,14,6,-17.5,2.0,14097029.0,1.0,0.0,0.0
2E0DSS,KC3BWN,14,1,-27.0,0.0,14097027.0,0.0,0.0,0.0
2E0DSS,KE7A,14,1,-25.0,0.0,14097022.0,0.0,0.0,0.0
2E0DSS,LA5WJA,14,3,-5.0,2.0,14097018.0,4.0,0.0,0.0
2E0DSS,LA9JO,14,4,-4.0,2.5,14097039.5,0.5,0.0,0.0
2E0DSS,LY2BOS,14,5,-7.0,3.0,14097036.0,1.0,0.0,0.0
2E0DSS,M5ADA,14,3,-24.0,1.0,14097038.0,0.0,0.0,0.0
2E0DSS,M6NNB,14,1,-21.0,0.0,14097045.0,0.0,0.0,0.0
2E0DSS,OE3VMS,14,2,-7.0,7.0,14097026.5,0.5,0.0,0.0
2E0DSS,OE6PWD,14,1,-9.0,0.0,14097033.0,0.0,0.0,0.0
2E0DSS,ON4SAR,14,1,-23.0,0.0,14097055.0,0.0,0.0,0.0
2E0DSS,OZ5BIR,14,1,-12.0,0.0,14097039.0,0.0,0.0,0.0
2E0DSS,OZ7IT,14,6,-17.5,2.5,14097027.0,0.0,0.0,0.0
2E0DSS,PI4THT,14,1,-26.0,0.0,14097032.0,0.0,0.0,0.0
2E0DSS,UA1ASB,14,2,-15.0,1.0,14097037.0,0.0,0.0,0.0
2E0DSS,VE1AIM,14,13,-21.0,3.0,14097035.0,2.0,0.0,0.0
2E0DSS,VE6PDQ/1,14,1,-27.0,0.0,14097025.0,0.0,0.0,0.0
2E0DSS,W3GXT,14,8,-15.0,3.0,14097023.5,1.0,0.0,0.0
2E0DSS,W4AC,14,8,-15.5,5.0,14097047.0,0.0,0.0,0.0
2E0DSS,W4MO,14,2,-16.0,5.0,14097065.0,0.0,0.0,0.0
